canonical_field,scope,source_table,source_field,source_role,data_type,unit_status,allowed_ops,filter_policy,sort_policy,quality_policy,as_of_field,notes
overseas_etp.close_price,overseas_etp,PREF02N001,du_clpr,METRIC,decimal,TRADING_CURRENCY,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,MISSING_ON_PARTIAL,du_clpr_base_dt,not realtime; source scale/decimal rule requires briefing confirmation because extreme values are preserved
overseas_etp.close_price_as_of,overseas_etp,PREF02N001,du_clpr_base_dt,AS_OF,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,MISSING_ON_PARTIAL,NONE,
overseas_etp.close_price_source,overseas_etp,PREF02N001,du_clpr_src,DIMENSION,string,CODE,eq|in,CODE_ONLY,BLOCKED,MISSING_ON_PARTIAL,du_clpr_base_dt,
overseas_etp.discrepancy_rate,overseas_etp,PREF02N001,du_diff_rt,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,BLOCKED_LOW_COVERAGE,BLOCKED_LOW_COVERAGE,SEVERELY_PARTIAL,du_upt_dt,3 present
overseas_etp.return_1d,overseas_etp,PREF02N001,du_er_1d,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,BLOCKED_CONSTANT,BLOCKED_CONSTANT,UNUSABLE_CONSTANT,du_upt_dt,5388 present all zero
overseas_etp.high_price,overseas_etp,PREF02N001,du_hpr,METRIC,decimal,TRADING_CURRENCY,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,MISSING_ON_PARTIAL,du_upt_dt,
overseas_etp.aum_last,overseas_etp,PREF02N001,du_last_aum,METRIC,decimal,CURRENCY_CONTEXT_REQUIRED,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_CURRENCY,ZERO_UNKNOWN,du_nav_base_dt,no cross currency ranking
overseas_etp.nav_last,overseas_etp,PREF02N001,du_last_nav,METRIC,decimal,PRODUCT_CURRENCY_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,MISSING_ALLOWED,du_nav_base_dt,
overseas_etp.low_price,overseas_etp,PREF02N001,du_lpr,METRIC,decimal,TRADING_CURRENCY,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,MISSING_ON_PARTIAL,du_upt_dt,
overseas_etp.nav_as_of,overseas_etp,PREF02N001,du_nav_base_dt,AS_OF,timestamp,TIMESTAMP,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,VALID,NONE,
overseas_etp.open_price,overseas_etp,PREF02N001,du_opr,METRIC,decimal,TRADING_CURRENCY,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,MISSING_ON_PARTIAL,du_upt_dt,
overseas_etp.daily_as_of,overseas_etp,PREF02N001,du_upt_dt,AS_OF,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,MISSING_ON_PARTIAL,NONE,
overseas_etp.trading_value_1d,overseas_etp,PREF02N001,du_val_1d,METRIC,decimal,TRADING_CURRENCY,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,ZERO_VALID_PENDING,du_upt_dt,
overseas_etp.volume_1d,overseas_etp,PREF02N001,du_vol_1d,METRIC,decimal,COUNT,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,ZERO_VALID_PENDING,du_upt_dt,
product.alias.short_name,overseas_etp,PREF02N001,pd_abrv_nm,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,AMBIGUITY_CHECK,NONE,
product.currency,overseas_etp,PREF02N001,pd_curr_cd,DIMENSION,string,CURRENCY_CODE,eq|in,ALLOWED,ALLOWED,MISSING_ON_QUARANTINE,NONE,USD5637 and INR1
product.exchange_code,overseas_etp,PREF02N001,pd_exg_mkt_cd,DIMENSION,string,CODE,eq|in,ALLOWED,ALLOWED,VALID,NONE,
product.internal_type,overseas_etp,PREF02N001,pd_grp_no,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,VALID,NONE,primary ETF or ETN type
product.alias.isin,overseas_etp,PREF02N001,pd_isin_cd,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,MISSING_AND_NONUNIQUE,NONE,not a PK
product.id,overseas_etp,PREF02N001,pd_itm_no,PRIMARY_ID,string,IDENTIFIER,eq|in|starts_with,ALLOWED,ALLOWED,REQUIRED_UNIQUE,NONE,
product.alias.mirae_id,overseas_etp,PREF02N001,pd_itm_no_ma,ALIAS_ID,string,IDENTIFIER,eq|in|starts_with,ALLOWED,ALLOWED,REQUIRED_UNIQUE,NONE,
product.alias.lipper_id,overseas_etp,PREF02N001,pd_lipper_id,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,MISSING_ON_QUARANTINE,NONE,
product.listing_date,overseas_etp,PREF02N001,pd_lstg_dt,DIMENSION,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,SENTINEL_00000000,NONE,
overseas_etp.face_value,overseas_etp,PREF02N001,pd_lst_price,METRIC,decimal,PRODUCT_CURRENCY_PENDING,eq|gt|gte|lt|lte|between,BLOCKED_CONSTANT,BLOCKED_CONSTANT,UNUSABLE_NEAR_CONSTANT,NONE,5635 of 5636 present are zero
overseas_etp.listed_share_count,overseas_etp,PREF02N001,pd_lst_stk_cnt,METRIC,decimal,COUNT,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,ZERO_UNKNOWN,NONE,
product.market_code,overseas_etp,PREF02N001,pd_mkt_id,DIMENSION,string,CODE,eq|in,ALLOWED,ALLOWED,VALID,NONE,
product.name,overseas_etp,PREF02N001,pd_nm,PRIMARY_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,AMBIGUITY_CHECK,NONE,
product.sale_status,overseas_etp,PREF02N001,pd_sale_yn,STATUS,string,BOOLEAN_CODE,eq|in,ALLOWED,ALLOWED,MISSING_ON_PARTIAL,NONE,
product.trading_currency,overseas_etp,PREF02N001,pd_trd_ccy,DIMENSION,string,CURRENCY_CODE,eq|in,ALLOWED,ALLOWED,VALID,NONE,all USD
product.trading_halt_status,overseas_etp,PREF02N001,pd_tr_yn,STATUS,string,BOOLEAN_CODE,eq|in,PENDING,BLOCKED_PENDING_DIRECTION,MISSING_ON_PARTIAL,NONE,
product.alias.us_cik,overseas_etp,PREF02N001,pd_us_cik,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,MISSING_ALLOWED,NONE,
overseas_etp.reference_market_price,overseas_etp,PREF02N001,ru_mkt_price,METRIC,decimal,TRADING_CURRENCY,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,MISSING_ON_PARTIAL,du_upt_dt,not guaranteed realtime
overseas_etp.reference_market_volume,overseas_etp,PREF02N001,ru_mkt_volume,METRIC,decimal,COUNT,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_DATE,ZERO_VALID_PENDING,du_upt_dt,not guaranteed realtime
product.core_flag,overseas_etp,PREF02N001,wu_core_yn,DIMENSION,string,BOOLEAN_CODE,eq|in,ALLOWED,BLOCKED_LOW_COVERAGE,MISSING_ALLOWED,wu_upt_dt,
product.asset_class,overseas_etp,PREF02N001,wu_inv_ast_type,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,MISSING_ON_QUARANTINE,wu_upt_dt,
product.investment_region,overseas_etp,PREF02N001,wu_inv_rgn,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,MISSING_ON_QUARANTINE,wu_upt_dt,
overseas_etp.weekly_as_of,overseas_etp,PREF02N001,wu_upt_dt,AS_OF,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,VALID,NONE,
fund.benchmark_english,fund,PRFD01N001,bmrk_eng_nm,DIMENSION,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,PLACEHOLDER_REVIEW,NONE,
fund.benchmark,fund,PRFD01N001,bmrk_nm,DIMENSION,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,PLACEHOLDER_REVIEW,NONE,
product.currency,fund,PRFD01N001,curr_cd,DIMENSION,string,CURRENCY_CODE,eq|in,ALLOWED,ALLOWED,DAMAGED_ROW_FLAG,NONE,
fund.currency_hedge_flag,fund,PRFD01N001,exchdg_yn,DIMENSION,string,BOOLEAN_CODE,eq|in,ALLOWED,ALLOWED_WITH_COVERAGE,MISSING_ALLOWED,NONE,68.88 percent raw coverage
fund.establishment_country_code,fund,PRFD01N001,fd_estb_ctry_cd,DIMENSION,string,COUNTRY_CODE_RAW,eq|in,PENDING,BLOCKED_CODEBOOK_MISSING,ZERO_UNKNOWN,NONE,preserve leading zeros
product.investment_region,fund,PRFD01N001,fd_ivst_rgn_desc,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,
fund.return_18m,fund,PRFD01N001,fd_mm18_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,SUSPECT_OUTLIER,NONE,product-level dedupe required
fund.return_1m,fund,PRFD01N001,fd_mm1_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,ZERO_VALID_PENDING,NONE,product-level dedupe required
fund.return_3m,fund,PRFD01N001,fd_mm3_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,ZERO_VALID_PENDING,NONE,product-level dedupe required
fund.return_6m,fund,PRFD01N001,fd_mm6_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,ZERO_VALID_PENDING,NONE,product-level dedupe required
fund.net_assets,fund,PRFD01N001,fd_nast_suma,METRIC,decimal,KRW_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,ZERO_UNKNOWN,NONE,product-level dedupe required
fund.setup_type_code,fund,PRFD01N001,fd_set_pcd,DIMENSION,string,CODE,eq|in,PENDING,BLOCKED_CODEBOOK_MISSING,ZERO_UNKNOWN,NONE,
fund.return_1w,fund,PRFD01N001,fd_wk1_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,ZERO_VALID_PENDING,NONE,product-level dedupe required
fund.return_1y,fund,PRFD01N001,fd_yr1_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,SUSPECT_OUTLIER,NONE,intra-scope only
fund.return_2y,fund,PRFD01N001,fd_yr2_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,SUSPECT_OUTLIER,NONE,
fund.return_3y,fund,PRFD01N001,fd_yr3_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,SUSPECT_OUTLIER,NONE,
fund.return_5y,fund,PRFD01N001,fd_yr5_ern_r,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,SUSPECT_OUTLIER,NONE,
fund.foreign_base_price_flag,fund,PRFD01N001,frc_bpr_itm_yn,DIMENSION,string,BOOLEAN_CODE,eq|in,ALLOWED,ALLOWED,VALID,NONE,
product.alias.fss_id,fund,PRFD01N001,fss_itm_no,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,PLACEHOLDER_ZERO,NONE,
fund.hedge_fund_flag,fund,PRFD01N001,hdge_fd_yn,DIMENSION,string,BOOLEAN_CODE,eq|in,BLOCKED_CONSTANT,BLOCKED_CONSTANT,UNUSABLE_CONSTANT,NONE,normal rows all zero
fund.interest_dividend_class,fund,PRFD01N001,int_dvd_desc,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,
product.alias.short_name,fund,PRFD01N001,itm_abrv_nm,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,AMBIGUITY_CHECK,NONE,
product.alias.english_short_name,fund,PRFD01N001,itm_eabrv_nm,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,BLOCKED_LOW_COVERAGE,MISSING_ALLOWED,NONE,
product.alias.english_name,fund,PRFD01N001,itm_eng_nm,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,PLACEHOLDER_ZERO,NONE,
product.name,fund,PRFD01N001,itm_nm,PRIMARY_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,AMBIGUITY_CHECK,NONE,
product.id,fund,PRFD01N001,itm_no,PRIMARY_ID,string,IDENTIFIER,eq|in|starts_with,ALLOWED,ALLOWED,REQUIRED_NORMAL_12,NONE,damaged quote ID quarantined
fund.kofia_classification_code,fund,PRFD01N001,kofia_fd_ccd,DIMENSION,string,CODE,eq|in,PENDING,BLOCKED_CODEBOOK_MISSING,PLACEHOLDER_ZERO,NONE,
product.alias.ksd_id,fund,PRFD01N001,ksd_itm_no,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,MISSING_AND_NONUNIQUE,NONE,
product.alias.manager_item_id,fund,PRFD01N001,mtco_itm_no,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,PLACEHOLDER_ZERO,NONE,
fund.offshore_flag,fund,PRFD01N001,ofsfd_yn,DIMENSION,string,BOOLEAN_CODE,eq|in,BLOCKED_CONSTANT,BLOCKED_CONSTANT,UNUSABLE_CONSTANT,NONE,normal rows all zero
product.asset_class,fund,PRFD01N001,or_attr_desc,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,VALUE_06_OPEN,NONE,
product.manager_code,fund,PRFD01N001,or_co_xtn_itt_cd,DIMENSION,string,INSTITUTION_CODE,eq|in,CODE_ONLY,BLOCKED,DAMAGED_ROW_FLAG,NONE,manager name unavailable
fund.domestic_overseas_class,fund,PRFD01N001,ovrs_fd_desc,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,
fund.person_corporate_class,fund,PRFD01N001,pers_corp_desc,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,
fund.professional_investor_sale_control_code,fund,PRFD01N001,pfiv_sale_cntl_tcd,DIMENSION,string,CODE,eq|in,PENDING,BLOCKED_CODEBOOK_MISSING,ZERO_UNKNOWN,NONE,
fund.attribute_code,fund,PRFD01N001,prfd_attr_cd,BRIDGE_KEY,string,CODE,eq|in,CODE_ONLY,BLOCKED_CODEBOOK_MISSING,VALID,NONE,228 codes and bridge EXISTS only
fund.private_fund_class,fund,PRFD01N001,prvo_fd_desc,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,
product.public_private,fund,PRFD01N001,prvo_pbff_desc,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,public default universe
fund.family_candidate_id,fund,PRFD01N001,rptt_ksd_itm_no,ALIAS_ID,string,IDENTIFIER,eq|in,PENDING,BLOCKED_PENDING_SEMANTICS,PLACEHOLDER_GROUP_IDS,NONE,not a confirmed family key
product.sale_status,fund,PRFD01N001,sale_yn,STATUS,string,CATEGORY,eq|in,ALLOWED,ALLOWED,DAMAGED_ROW_FLAG,NONE,
product.alias.standard_id,fund,PRFD01N001,std_itm_no,ALIAS_ID,string,IDENTIFIER,eq|in,ALIAS_ONLY,BLOCKED,MISSING_AND_NONUNIQUE,NONE,
product.mirae_sale_flag,fund,PRFD01N001,thco_sale_yn,STATUS,string,BOOLEAN_CODE,eq|in,ALLOWED,ALLOWED_WITH_COVERAGE,DAMAGED_ROW_FLAG,NONE,
fund.trustee_code,fund,PRFD01N001,trusc_xtn_itt_cd,DIMENSION,string,INSTITUTION_CODE,eq|in,CODE_ONLY,BLOCKED,DAMAGED_ROW_FLAG,NONE,
fund.risk_grade_code,fund,PRFD01N001,zrin_fd_ivst_risk_gcd,DIMENSION,string,CODE,eq|in,ALLOWED,BLOCKED_PENDING_ORDER,LITERAL_NULL_AND_DAMAGED,NONE,literal NULL is missing
fund.risk_grade_name,fund,PRFD01N001,zrin_fd_ivst_risk_grd_nm,DIMENSION,string,RISK_SCALE,eq|in,ALLOWED,BLOCKED_PENDING_ORDER,NORMALIZE_SPACING_AND_DAMAGED,NONE,do not compare across product groups
